Date,Close,High,Low,Open,Volume
2021-02-05,360.9324035644531,361.6399224767463,359.47085881489795,361.3885805309923,48669800
2021-02-08,363.5390625,363.5855978382445,361.52824155640604,362.38468496710107,38365200
2021-02-09,363.29693603515625,363.89274733764177,362.2915399745202,362.7011247326708,35551100
2021-02-10,363.13873291015625,365.18679913439,360.7369356197839,365.0378462808228,59154400
2021-02-11,363.7252197265625,364.6375452854998,361.2954955929545,364.21861361632875,42913300
2021-02-12,365.52191162109375,365.7639351240039,362.8501073798465,362.9245980037026,50593300
2021-02-16,365.2054138183594,366.94628434358594,364.4886048325737,366.7507677394015,50972400
2021-02-17,365.2892150878906,365.54055704666837,362.440530839151,363.45527392535223,52290600
2021-02-18,363.7344970703125,364.47923283154506,360.9603038015021,362.6825372104316,59712800
2021-02-19,363.0921936035156,365.2798942259746,362.645335047699,364.99130695342166,83241000
2021-02-22,360.29931640625,362.7104315988189,360.02933764280306,360.3272432845483,67414200
2021-02-23,360.7369384765625,362.0868041909318,353.9411313866223,358.0930892269746,107284100
2021-02-24,364.7120056152344,365.1402557134538,358.6609345710552,359.6477223454717,72433900
2021-02-25,355.9239807128906,364.81441738369665,354.4810443890207,363.4459432788632,146670500
2021-02-26,354.09002685546875,358.9495032557424,352.1071613879296,357.8044726689712,152701600
2021-03-01,362.6732177734375,363.92069420530373,354.28552261817083,358.95880058810565,105348800
2021-03-02,359.84320068359375,363.1293962418053,359.34048841861335,362.89666276485025,79595300
2021-03-03,355.07684326171875,360.11317098093735,354.97442575307235,359.1450201183431,119940200
2021-03-04,350.68280029296875,357.47860618196836,346.19569221992555,354.89061115902405,183433000
2021-03-05,357.13421630859375,358.18617627812586,346.9032607012722,354.1831430171617,152039600
2021-03-08,355.3560791015625,360.9044370293171,355.07681030362994,358.09302696069,123149200
2021-03-09,360.42974853515625,362.9804987402697,358.698196429531,359.2009087711451,113633600
2021-03-10,362.6732177734375,364.3675242968636,361.36062596963234,362.7756352759854,109899400
2021-03-11,366.3504333496094,368.3240087626398,364.6840536373491,365.14023058798864,86245000
2021-03-12,366.84375,366.98338438005464,364.18129312081305,364.9912009349735,64653600
2021-03-15,369.03143310546875,369.29209340626124,364.9539389353393,367.0950750911458,73427200
2021-03-16,368.5660705566406,370.353447865086,367.7933794539433,369.645957368341,73722500
2021-03-17,369.8228454589844,370.62343505257456,366.1363264084717,367.2813854421712,97959300
2021-03-18,364.4420471191406,369.32013211532865,363.76245508171684,367.2348490775415,115349100
2021-03-19,363.7677307128906,365.7197518785145,361.5915342319768,364.14131823450606,113624500
2021-03-22,366.6723937988281,368.0546989422797,364.2253628242193,364.28139952570655,73778600
2021-03-23,363.7863464355469,367.4849108087404,363.00180420504506,366.0372486874983,90686600
2021-03-24,361.93707275390625,366.8218139815274,361.8903850062456,365.1873437728255,97588600
2021-03-25,363.97320556640625,364.7670683556702,358.5560867809132,360.4987874842971,116128600
2021-03-26,369.8385925292969,370.2401983720078,364.5242270663124,365.12196135499164,114409100
2021-03-29,369.6518249511719,370.557789685478,366.87789404327793,368.362923730932,108107600
2021-03-30,368.6711730957031,369.3436420929392,367.0740414129529,368.38164060411987,76262200
2021-03-31,370.1654968261719,371.72526109112226,369.2128443577868,369.2408627097128,112734200
2021-04-01,374.16290283203125,374.2189680327331,371.89333106228867,372.0988084552015,99682900
2021-04-05,379.5332946777344,380.0750207457854,376.7500437520767,376.82474984617124,91684800
2021-04-06,379.30914306640625,380.3551993878055,378.6366742165215,378.9729228929124,62021000
2021-04-07,379.7481384277344,380.0937075716996,378.6834126464064,379.141055188101,55836300
2021-04-08,381.55078125,381.6068179580441,380.06575148102456,380.99973461896406,57863100
2021-04-09,384.32464599609375,384.4927845941178,381.3078992229351,381.4293215703808,61104600
2021-04-12,384.4647521972656,384.7355867285504,383.11981447960585,383.7268976917543,56704900
2021-04-13,385.604248046875,386.2300292636302,383.9791265777558,384.3620630681728,56551000
2021-04-14,384.28729248046875,386.6315702804382,383.7455664130594,385.5761649966313,61659900
2021-04-15,388.4154968261719,388.68635987083064,386.3794207731198,386.42610852089956,60229800
2021-04-16,389.7137451171875,390.3208283501207,388.28475230611167,389.7043961665137,82037300
2021-04-19,387.7990417480469,389.228034481116,386.4728019580856,388.77974091961784,78498500
2021-04-20,384.95977783203125,387.68699217501296,383.4840687603821,386.5848990980943,81851800
2021-04-21,388.6023254394531,388.80780284580254,384.2032448539139,384.34336511048394,66793000
2021-04-22,385.05316162109375,389.26543407718646,383.9884358212958,388.43420402767475,97582800
2021-04-23,389.2280578613281,390.63838128168265,385.53884219304297,385.6135482901479,73209200
2021-04-26,390.0406188964844,390.61036333622997,389.293443913069,389.88185775138544,52182400
2021-04-27,389.95660400390625,390.5356974540181,388.817143509979,390.33954048578113,51303100
2021-04-28,389.844482421875,391.34820981136744,389.37749094113417,390.22741885643023,51238900
2021-04-29,392.3288269042969,392.9452589949812,388.9478136062445,392.5716715620224,78544300
2021-04-30,389.7510070800781,390.90916512228176,388.85439158199523,390.0592373625675,85527000
2021-05-03,390.5917053222656,392.1234226337819,390.09669546817264,391.740486180178,68128300
2021-05-04,388.1820068359375,389.0973204297574,384.49279111679294,388.6023105837801,101591200
2021-05-05,388.303466796875,390.05935955355847,387.74307124643747,389.8258637827846,60162200
2021-05-06,391.40423583984375,391.5349786293804,386.3700541332892,388.3781117451592,74321400
2021-05-07,394.2528381347656,394.9066375343284,391.48825686517847,392.17007461027134,67733800
2021-05-10,390.348876953125,394.8319841776763,390.2274545965479,394.60783736731895,81852400
2021-05-11,386.8650817871094,387.85510146471046,382.9890581244751,385.8283743617133,116888000
